id,first_name,last_name,email,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score
1,Paul,Casey,paul.casey.1@gslingacademy.com,1,0,3,False,27,Lawyer,0.5499999999999999,0.6200000000000001,0.8600000000000001,0.94,0.4714285714285715,0.6122448979591835,0.6750000000000003
2,Danielle,Sandoval,danielle.sandoval.2@gslingacademy.com,0,0,2,False,47,Doctor,0.8333333333333334,0.72,0.9199999999999999,1.0,0.857142857142857,0.7755102040816324,0.75
3,Tina,Andrews,tina.andrews.3@gslingacademy.com,0,0,9,True,13,Government Officer,0.6833333333333335,0.94,0.9000000000000001,0.9199999999999999,0.49999999999999994,0.5510204081632653,0.8500000000000001
4,Tara,Clark,tara.clark.4@gslingacademy.com,0,0,5,False,3,Artist,0.5166666666666667,0.48,0.76,0.6000000000000001,0.8428571428571427,0.26530612244897944,0.6499999999999999
5,Anthony,Campos,anthony.campos.5@gslingacademy.com,1,0,5,False,10,Unknown,0.7333333333333333,0.54,0.30000000000000004,0.30000000000000004,0.7142857142857142,0.4897959183673468,0.40000000000000013
6,Kelly,Wade,kelly.wade.6@gslingacademy.com,0,0,2,False,26,Unknown,0.8833333333333334,1.0,0.3400000000000001,0.56,0.5999999999999999,0.6122448979591835,0.6000000000000001
7,Anthony,Smith,anthony.smith.7@gslingacademy.com,1,0,3,True,23,Software Engineer,0.9833333333333333,0.9199999999999999,0.94,0.45999999999999996,0.8285714285714285,0.5306122448979591,0.10000000000000009
8,George,Short,george.short.8@gslingacademy.com,1,1,2,True,34,Software Engineer,0.9166666666666666,0.9000000000000001,0.6400000000000001,0.26,0.7714285714285714,0.40816326530612224,0.625
9,Stanley,Gutierrez,stanley.gutierrez.9@gslingacademy.com,1,0,6,False,25,Unknown,0.9,0.3600000000000001,0.8800000000000001,0.7,0.7285714285714284,0.4897959183673468,0.30000000000000004
10,Audrey,Simpson,audrey.simpson.10@gslingacademy.com,0,0,3,True,18,Teacher,0.9666666666666667,0.3800000000000001,0.76,0.41999999999999993,0.5285714285714285,0.4285714285714284,0.3250000000000002
11,Gabrielle,White,gabrielle.white.11@gslingacademy.com,0,0,2,False,7,Teacher,0.41666666666666663,0.19999999999999996,0.94,0.8800000000000001,0.5857142857142856,0.6326530612244896,0.15000000000000013
12,Clinton,Randolph,clinton.randolph.12@gslingacademy.com,1,0,1,False,7,Unknown,0.6666666666666666,0.21999999999999997,1.0,0.30000000000000004,0.8142857142857143,0.2857142857142856,0.025000000000000133
13,Patricia,Gomez,patricia.gomez.13@gslingacademy.com,0,1,7,False,4,Business Owner,0.9,0.17999999999999994,0.3800000000000001,0.3400000000000001,0.8428571428571427,0.30612244897959173,0.3250000000000002
14,Pamela,Jackson,pamela.jackson.14@gslingacademy.com,0,0,10,False,2,Business Owner,0.43333333333333346,0.8800000000000001,0.72,1.0,0.38571428571428573,0.8163265306122447,0.07500000000000018
15,Laura,Jackson,laura.jackson.15@gslingacademy.com,0,0,3,False,39,Doctor,0.9333333333333335,0.8,0.72,0.8400000000000001,0.8857142857142857,0.9183673469387754,0.6750000000000003
16,Roger,Wiley,roger.wiley.16@gslingacademy.com,1,0,6,False,0,Business Owner,0.9,0.0,0.56,0.28,0.7,0.4897959183673468,0.6000000000000001
17,Vicki,Thompson,vicki.thompson.17@gslingacademy.com,0,0,3,True,30,Scientist,0.8666666666666666,0.28,0.8600000000000001,0.8200000000000001,0.7142857142857142,0.7959183673469385,0.30000000000000004
18,Maxwell,Davidson,maxwell.davidson.18@gslingacademy.com,1,0,2,True,28,Software Engineer,0.7666666666666667,0.6600000000000001,0.7,0.5800000000000001,0.8999999999999999,0.5306122448979591,0.42500000000000004
19,Jonathan,Werner,jonathan.werner.19@gslingacademy.com,1,0,1,False,37,Doctor,0.8666666666666666,0.74,0.8400000000000001,0.98,0.9571428571428571,0.7551020408163263,0.6499999999999999
20,Angela,Rios,angela.rios.20@gslingacademy.com,0,0,2,False,27,Software Engineer,0.9833333333333333,0.30000000000000004,0.96,0.5,0.5142857142857142,0.4489795918367345,1.0
21,Tim,Nichols,tim.nichols.21@gslingacademy.com,1,1,3,False,15,Software Engineer,1.0,0.8,0.43999999999999995,0.96,0.6142857142857143,0.9591836734693875,0.30000000000000004
22,Kyle,Willis,kyle.willis.22@gslingacademy.com,1,0,8,False,4,Business Owner,0.2833333333333333,0.10000000000000009,0.56,0.8800000000000001,0.7571428571428571,0.7755102040816324,0.7000000000000002
23,Shannon,Simpson,shannon.simpson.23@gslingacademy.com,0,0,9,False,2,Business Owner,0.8166666666666668,0.43999999999999995,0.3600000000000001,0.43999999999999995,0.5857142857142856,0.08163265306122436,0.75
24,Sean,Griffin,sean.griffin.24@gslingacademy.com,1,0,9,False,1,Business Owner,0.16666666666666674,0.52,0.6200000000000001,0.10000000000000009,0.3714285714285714,0.6122448979591835,0.4750000000000001
25,Cassandra,West,cassandra.west.25@gslingacademy.com,0,0,4,False,35,Software Engineer,0.7833333333333333,0.8200000000000001,0.8,0.76,0.9285714285714286,0.7755102040816324,0.8250000000000002
26,Patricia,Chavez,patricia.chavez.26@gslingacademy.com,0,0,5,False,22,Doctor,0.8666666666666666,0.72,0.74,0.6200000000000001,0.8999999999999999,0.8163265306122447,0.9750000000000001
27,Jason,Williams,jason.williams.27@gslingacademy.com,1,0,3,False,34,Banker,1.0,0.54,0.6000000000000001,0.8800000000000001,0.4714285714285715,0.8163265306122447,0.75
28,Peter,Gibbs,peter.gibbs.28@gslingacademy.com,1,0,0,False,23,Writer,0.4,0.5,0.8600000000000001,0.5800000000000001,0.7285714285714284,0.9387755102040816,0.625
29,Jeffrey,Blanchard,jeffrey.blanchard.29@gslingacademy.com,1,0,1,True,17,Accountant,0.65,0.30000000000000004,0.98,0.41999999999999993,0.657142857142857,0.5510204081632653,0.5750000000000002
30,Carol,Hill,carol.hill.30@gslingacademy.com,0,0,3,False,19,Accountant,0.7000000000000001,1.0,0.21999999999999997,0.94,0.0,0.4897959183673468,0.3250000000000002
